policy_id,customer_name,age,gender,policy_type,premium,coverage_amount,start_date,end_date,is_active,risk_score,claim_history,annual_income,zip_code,agent_id
POL-000001,Jeremy Burgess,56,U,Life,1874.86,857830.6,2021/07/20,2024/12/06,TRUE,33,0,20971.74,47037,AGT-082
POL-000002,Matthew Wheeler,69,M,Auto,2286.42,251394.35,2023/12/18,2025/10/19,TRUE,50,0,140330.88,22242,AGT-015
POL-000003,David Jones,46,F,Home,2512.41,674485.81,2022/02/06,2026/08/08,FALSE,63,2,-100,25082,AGT-004
POL-000004,James Wagner,32,U,Auto,3202.67,498667.71,2022/12/30,2025/08/08,TRUE,100,3,129228.78,17461,AGT-095
POL-000005,Martha Adams,60,M,Life,2820.56,886148.9,2022/10/24,2025/08/15,TRUE,37,0,41585.93,50064,AGT-036
POL-000006,Austin Turner,25,F,Life,4637.26,254953.65,2021/06/11,2025/11/17,TRUE,59,0,77731.96,00781,AGT-032
POL-000007,Robert Allen,78,U,Life,2736.34,693922.54,1900/01/01,2029/07/03,TRUE,81,0,176175.49,43110,AGT-029
POL-000008,Matthew Taylor,38,U,Home,4964.71,627364.52,2021/12/12,2028/10/09,spanner,99,2,61862.25,62410,AGT-018
POL-000009,Victoria Brown,56,M,Home,4331.41,330536.4,2019/12/15,2027/03/30,TRUE,48,0,129385.26,30755,AGT-095
POL-000010,Angela Thornton,75,M,Health,1438.3,179770.86,2019/12/07,2028/06/11,TRUE,5,1,92480.82,06619,AGT-014
POL-000011,Tracy Lopez,36,M,Life,4687.68,669057.77,2021/01/21,2025/05/13,TRUE,48,1,57411.87,50586,AGT-087
POL-000012,Ashley Vega,40,F,Auto,1023.65,751667.59,2021/01/30,2028/08/23,TRUE,96,2,166413.24,88466,AGT-095
POL-000013,Mary Arnold,28,M,Home,4178.52,349845.98,2019/10/31,2026/09/27,TRUE,3,2,153709.63,59670,AGT-070
POL-000014,Elizabeth Rodriguez,28,U,Life,2212.8,662590.97,2023/03/23,2027/06/06,TRUE,47,2,139086.39,20969,AGT-012
POL-000015,Taylor Wilson,41,U,Life,4450.88,425374.36,2021/04/29,2026/10/21,TRUE,62,1,62540.59,93164,AGT-076
POL-000016,Colleen Murphy,flag,M,Home,4406.26,727546.54,2020/09/06,2029/07/21,TRUE,99,2,37614.26,06856,AGT-055
POL-000017,CHRISTINE LYNCH,53,M,Health,4126.66,239254.51,2024/09/08,2027/03/21,TRUE,14,1,123708.68,92330,AGT-005
POL-000018,Trevor Roberts,57,U,Home,4055.14,895704.25,2021/12/24,2025/02/01,TRUE,63,3,119662.01,77113,AGT-004
POL-000019,Jacob Nguyen,41,F,Home,1871.06,323039.12,2020/03/04,2026/10/31,TRUE,61,1,53909.3,19668,AGT-012
POL-000020,William Tanner,20,Auto,Auto,864.14,399396.69,2019/10/28,2025/07/29,TRUE,31,1,30124.4,54292,AGT-028
POL-000021,Caroline Diaz,39,M,Auto,2313.41,105187.35,2024/01/29,2026/06/10,TRUE,95,0,34527.52,07506,AGT-030
POL-000022,Stefanie Baker,70,U,Health,1280.86,155936.6,2023/05/23,2029/03/28,TRUE,17,0,198698.78,45131,AGT-065
POL-000023,Jackie Reyes,19,M,Life,3627.28,540068.81,2023/02/05,2025/10/07,TRUE,24,0,161045.1,91597,AGT-078
POL-000024,Kevin Pena,41,F,Home,2057.45,304213.04,2023/12/01,2025/07/20,TRUE,23,0,185957.75,52238,AGT-004
POL-000025,Thomas Lin,61,U,Health,4890.25,843706.21,2023/11/16,2025/09/26,TRUE,82,2,55109.85,64940,AGT-072
POL-000026,Kari Campbell,47,M,Auto,3384.37,63958.72,2022/01/02,2027/12/24,TRUE,50,1,192902.34,73436,AGT-026
POL-000027,Robert Williams,55,U,Home,4201.16,410139.35,2020/02/22,2027/02/13,TRUE,78,0,45677.78,30229,AGT-092
POL-000028,David Humphrey,19,M,Life,1096.36,370478.27,2023/02/09,2026/04/03,TRUE,79,3,111634.73,34467,AGT-084
POL-000029,Pamela Rogers MD,77,M,Auto,4379.07,68361.25,2021/12/12,2027/03/27,TRUE,79,1,169345.22,02054,AGT-090
POL-000030,Amanda Nelson,38,M,Auto,4652.41,168149.98,2023/11/06,2028/09/08,FALSE,70,2,82964.6,08907,AGT-070
POL-000031,John Mcknight,50,F,Auto,2691.78,442960.54,2021/03/25,2025/03/12,TRUE,27,1,96469.14,72002,AGT-054
POL-000032,Derek Williams,29,F,Health,3228.14,518221.36,2020/08/27,2026/09/06,TRUE,15,1,43073.32,48621,AGT-029
POL-000033,Sonia Smith,75,U,Life,3941.64,434075.26,2023/10/29,2026/06/28,TRUE,50,2,42125.94,72123,AGT-058
POL-000034,Michael Moore,39,M,Home,1286.77,554390.79,2020/04/02,2024/12/01,TRUE,36,1,131522.28,28355,AGT-076
POL-000035,Melissa Ramirez,78,M,Health,2761.55,615375.09,2021/12/14,2028/04/12,TRUE,8,0,141595.83,95396,AGT-036
POL-000036,Paula Owens,61,F,Health,2293.98,59427.63,2022/07/02,2028/10/17,TRUE,79,0,159919.85,02379,AGT-001
POL-000037,April Richmond,42,M,Health,1158.68,490890.4,2023/03/31,2027/01/02,TRUE,3,0,120202.77,48716,AGT-098
POL-000038,Rhonda Thornton,66,F,Auto,2153.9,965324.28,2022/02/18,2028/12/02,TRUE,62,1,136236.67,02144,AGT-021
POL-000039,Melissa Montes,44,M,Life,806.78,543080.67,2021/06/16,2027/11/14,TRUE,47,0,22433.11,49180,AGT-090
POL-000040,Adam Hall,76,U,Health,616.15,693665.15,2021/03/01,2027/07/25,FALSE,77,0,49190.73,14539,AGT-055
POL-000041,Jody Chung,59,M,Home,1108.25,346270.67,2024/06/23,2029/08/25,TRUE,98,0,197284.66,16384,AGT-044
POL-000042,EDWARD SNOW,45,M,Life,4834.02,785291.81,2020/02/24,2029/07/22,FALSE,88,0,33678.83,50585,AGT-036
POL-000043,Charles Hardy,77,F,Home,2972.88,784275.41,2021/09/14,2029/01/15,TRUE,96,1,142181.88,89404,AGT-020
POL-000044,Eric Long,33,M,Life,4846.2,545231.25,2020/12/10,2026/02/03,TRUE,61,2,51694.87,94194,AGT-028
POL-000045,Gary Martin,32,M,Home,2446.24,977213.13,2021/09/16,2028/12/04,TRUE,32,1,149009.35,71827,AGT-098
POL-000046,Anthony Drake,79,F,Auto,1903.17,169272.7,2021/09/17,2027/04/08,TRUE,94,0,147078.27,93412,AGT-044
POL-000047,Johnny Watson,79,U,Health,2777.64,66100.28,2020/02/04,2024/10/14,TRUE,13,0,62155.83,59265,AGT-014
POL-000048,William Garcia,64,U,Home,2477.8,781650.3,2024/03/19,2027/02/04,FALSE,1,0,68534.19,30385,AGT-012
POL-000049,Edward Landry,79,F,Life,975.49,816797.76,2021/05/23,2027/10/13,TRUE,34,2,137858.73,14128,AGT-049
POL-000050,Karen Palmer MD,68,F,Health,3383.72,164196.87,2024/04/20,2026/02/15,TRUE,62,1,90215.49,08067,AGT-013
POL-000051,Brenda Wood,61,F,Health,1472.17,302303.69,2021/01/23,2029/01/28,TRUE,79,1,55018.63,34312,AGT-046
POL-000052,Kimberly Davis,72,F,Life,3288.15,66674.75,2024/03/26,2024/10/16,TRUE,78,0,151702.33,37458,AGT-045
POL-000053,Ricky Vincent,69,F,Home,3425.9,328643.18,2024/04/14,2024/12/25,FALSE,93,0,47746.55,56253,AGT-078
POL-000054,Patricia Hayes,74,U,Auto,1184.11,784484.78,2021/08/26,2028/12/25,TRUE,98,0,174015.86,73502,AGT-034
POL-000055,Cheryl Bautista,20,U,Auto,776.07,542062.5,2023/12/10,2025/12/06,TRUE,82,2,112640.51,13268,AGT-006
POL-000056,Cindy Robinson,54,F,Home,4013.43,380690.81,2020/04/30,2025/10/23,TRUE,71,3,39026.11,71197,AGT-094
POL-000057,Dawn Ramirez,68,M,Health,2569.1,403152.33,2020/07/28,2029/01/22,TRUE,93,2,144933.02,98728,AGT-059
POL-000058,Victoria Reynolds,24,F,Health,761.74,51285.94,2020/06/21,2028/08/06,FALSE,31,1,113449.35,02678,AGT-069
POL-000059,Victoria Cochran,38,M,Health,4976.9,334810.5,2023/06/30,2027/11/16,TRUE,64,0,73650.36,18469,AGT-016
POL-000060,David Phillips,26,F,Health,760.01,664135.8,2021/02/12,2026/02/18,TRUE,25,2,96057.09,70884,AGT-049
POL-000061,Jonathan Smith DDS,56,F,Home,3627.66,975484.72,2021/09/26,2027/02/26,TRUE,38,1,73700.79,61054,AGT-011
POL-000062,Lawrence Harris,35,U,Health,4926.56,854707.79,2023/05/12,2029/05/11,TRUE,14,1,67344.65,35254,AGT-071
POL-000063,Elizabeth Dodson,21,M,Life,1576.31,72415.22,2020/08/16,2028/05/15,TRUE,8,1,49449.52,59103,AGT-038
POL-000064,Eric Clark,42,,Health,1140.12,903632.57,2023/04/03,2028/07/17,TRUE,91,1,85298.08,05214,AGT-081
POL-000065,Justin Rosales,77,U,Auto,1046.23,794038.49,2021/09/04,2028/08/10,TRUE,54,0,65177.7,18072,AGT-080
POL-000066,GEORGE VAUGHN,31,U,Health,1864.74,791357.32,2022/02/07,2025/01/15,FALSE,2,0,143018.21,17108,AGT-047
POL-000067,Justin Holden,67,U,Home,954.71,485095.97,2022/03/20,2027/09/25,TRUE,81,0,143097.81,25911,AGT-074
POL-000068,Diane Johnson DVM,75,U,Auto,3614.73,428105.03,2024/05/04,2027/10/28,TRUE,78,0,110331.24,97309,AGT-025
POL-000069,Thomas Farmer,26,M,Home,780.31,337769.94,2022/08/07,2025/05/17,FALSE,89,0,160030.01,56108,AGT-091
POL-000070,Lisa Flynn,43,M,Home,2792.4,112410.12,2023/09/15,2026/08/01,TRUE,56,1,171441.15,75959,AGT-009
POL-000071,Kimberly Walter,70,F,Auto,4985.14,266823.6,2023/05/18,2025/12/21,TRUE,94,1,124357.96,94218,AGT-006
POL-000072,Michelle Terrell,19,F,Home,4162.87,284273.45,2023/07/24,2029/09/26,TRUE,93,2,131408.33,52367,AGT-085
POL-000073,Nicholas Wilson DVM,37,U,Home,3268.49,509873.22,2022/04/28,2027/01/21,TRUE,84,2,70919.46,12934,AGT-030
